Species,Deploy Date,Capture Depth (fm),Depth Interval,Mortality (0=Dead),Days Held,10-Day Mortality (0 = Dead),Study type,Guild,,,,,,,
starry rockfish,5/30/2006,44.0,40-50,1,2.00,NA,Cage Study - Jarvis and Lowe,Deep Demersal,,,,,,,
honeycomb rockfish,5/30/2006,44.0,40-50,1,2.00,NA,Cage Study - Jarvis and Lowe,Dwarf,,,,,,,
vermilion sunset rockfish,7/26/2005,31.3,30-40,1,2.00,NA,Cage Study - Jarvis and Lowe,Deep Demersal,,,,,,,
squarespot rockfish,6/16/2005,32.4,30-40,1,2.00,NA,Cage Study - Jarvis and Lowe,Dwarf,,,,,,,
flag rockfish,5/30/2006,44.0,40-50,1,2.00,NA,Cage Study - Jarvis and Lowe,Deep Demersal,,,,,,,
starry rockfish,6/13/2006,45.6,40-50,1,2.00,NA,Cage Study - Jarvis and Lowe,Deep Demersal,,,,,,,
Cowcod,3/20/2015,68.1,60-70,1,55,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,5/13/2014,64.0,60-70,1,508,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,8/12/2014,44.7,40-50,1,324,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,1/30/2012,72.0,70-80,1,51,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
vermilion sunset rockfish,1/30/2012,72.0,70-80,1,524,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,8/12/2014,41.7,40-50,1,331,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,8/12/2014,43.3,40-50,1,326,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,5/13/2014,55.0,50-60,1,258,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,55.0,50-60,1,258,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,67.0,60-70,1,258,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,5/13/2014,59.0,50-60,1,258,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,8/12/2014,43.3,40-50,1,258,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,5/13/2014,80.0,70-80,1,257,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,11/24/2014,51.7,50-60,1,227,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,5/13/2014,58.0,50-60,1,173,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,12/21/2011,80.0,70-80,1,129,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,12/21/2011,79.0,70-80,1,129,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
vermilion sunset rockfish,12/21/2011,78.0,70-80,1,129,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,12/21/2011,80.0,70-80,1,129,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,72.0,70-80,1,129,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,1/30/2012,87.0,80-90,1,114,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
vermilion sunset rockfish,1/30/2012,72.0,70-80,1,97,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,11/24/2014,56.3,50-60,1,93,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,5/13/2014,60.0,50-60,1,88,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,8/12/2014,45.0,40-50,1,86,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,11/24/2014,67.0,60-70,1,86,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,11/24/2014,66.5,60-70,1,62,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,5/13/2014,45.0,40-50,1,53,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,72.0,70-80,1,52,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,8/12/2014,46.7,40-50,1,43,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,87.0,80-90,1,42,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,1/30/2012,70.0,60-70,1,39,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Starry Rockfish,12/21/2011,80.0,70-80,1,39,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,55.0,50-60,1,38,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,2/11/2015,50.0,40-50,1,35,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,2/11/2015,62.0,60-70,1,31,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,2/11/2015,75.1,70-80,1,28,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/9/2012,73.0,70-80,1,25,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,11/24/2014,97.5,90-100,1,21,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,2/11/2015,85.0,80-90,1,19,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,60.0,50-60,1,18,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/5/2013,62.0,60-70,1,18,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/9/2012,60.0,50-60,0,17,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/12/2013,55.0,50-60,0,17,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,11/24/2014,51.7,50-60,1,16,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Starry Rockfish,1/30/2012,72.0,70-80,1,16,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,65.0,60-70,1,15,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,44.0,40-50,1,15,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,8/12/2014,40.9,40-50,1,15,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,2/11/2015,70.0,70-80,0,14,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/12/2013,57.0,50-60,1,12,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/12/2013,57.0,50-60,0,12,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,80.0,70-80,1,11,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,1/30/2012,75.1,70-80,1,10,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/5/2013,70.0,60-70,0,10,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,5/13/2014,67.0,60-70,1,10,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,5/13/2014,65.0,60-70,1,10,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/9/2012,62.0,60-70,1,10,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,72.0,70-80,1,9,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,1/30/2012,68.1,60-70,1,9,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,5/13/2014,65.0,60-70,0,9,0,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/20/2015,84.0,80-90,1,8,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/9/2012,63.0,60-70,1,8,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,98.0,90-100,1,8,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,2/11/2015,75.1,70-80,1,8,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/12/2013,60.0,50-60,1,8,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,11/24/2014,97.5,90-100,1,8,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,4/18/2013,90.1,90-100,0,8,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/5/2013,70.0,60-70,0,7,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/9/2012,72.0,70-80,1,7,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,2/11/2015,72.0,70-80,1,6,1,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/9/2012,63.0,60-70,1,6,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/12/2013,57.0,50-60,1,6,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/9/2012,63.0,60-70,1,5,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/20/2015,73.0,70-80,1,5,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,2/11/2015,97.0,90-100,1,5,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,12/21/2011,80.0,70-80,1,5,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,1/30/2012,72.0,70-80,0,5,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,4/18/2013,64.0,60-70,0,4,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,1/30/2012,75.1,70-80,1,3,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/5/2013,90.1,90-100,0,3,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,60.0,50-60,1,3,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/5/2013,60.0,50-60,0,2,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,65.0,60-70,1,2,1,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/5/2013,58.0,50-60,0,2,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,75.1,70-80,0,2,0,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,71.0,70-80,1,1,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,2/11/2015,64.0,60-70,0,1,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,5/13/2014,80.0,70-80,1,1,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/9/2012,64.0,60-70,0,1,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,3/20/2015,72.0,70-80,0,1,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,12/21/2011,78.0,70-80,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,71.0,70-80,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,80.0,70-80,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,1/30/2012,88.0,80-90,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,71.0,70-80,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,72.0,70-80,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,87.0,80-90,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,75.1,70-80,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bank Rockfish,1/30/2012,87.0,80-90,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Bocaccio,1/30/2012,60.0,50-60,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,8/12/2014,40.9,40-50,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,11/24/2014,61.7,60-70,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Bocaccio,2/11/2015,100.1,90-100,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Pelagic,,,,,,,
Cowcod,3/12/2013,57.0,50-60,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,4/18/2013,90.1,90-100,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,4/18/2013,64.0,60-70,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
Cowcod,5/13/2014,58.0,50-60,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,12/21/2011,78.0,70-80,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,1/30/2012,70.0,60-70,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,1/30/2012,70.0,60-70,0,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
vermilion sunset rockfish,12/21/2011,90.0,80-90,1,0,NA,Accoustic Tagging - Wegner and Hyde,Deep Demersal,,,,,,,
